increment,price,zero
839,263.799988,0
840,262.609985,0
841,261.329987,0
842,261.559998,0
843,263,0
844,260.320007,0
845,258.790009,0
846,257.480011,0
847,256.540009,0
848,257.619995,0
849,253.309998,0
850,253.850006,0
851,256.779999,0
852,258.709991,0
853,255.389999,0
854,251.350006,0
855,252.570007,0
856,253.020004,0
857,250.830002,0
858,253.509995,0
859,253.759995,0
860,254.630005,0
861,253.419998,0
862,262.160004,0
863,266.690002,0
864,265.329987,0
865,266.450012,0
866,267.049988,0
867,265.170013,0
868,271.519989,0
869,270.200012,0
870,271.26001,0
871,271.429993,0
872,274.299988,0
873,274.450012,0
874,269.769989,0
875,270.679993,0
876,268.940002,0
877,271.670013,0
878,275.660004,0
879,274.820007,0
880,273.779999,0
881,269.059998,0
882,272.309998,0
883,270.980011,0
884,273.5,0
885,271.779999,0
886,275.809998,0
887,272.019989,0
888,271.779999,0
889,270.019989,0
890,270.549988,0
891,267.850006,0
892,269.320007,0
893,270.26001,0
894,272.049988,0
895,270.51001,0
896,268.470001,0
897,270,0
898,266.660004,0
899,263.5,0
900,264.679993,0
901,265.190002,0
902,262.5,0
903,266.019989,0
904,272.019989,0
905,272.209991,0
906,272.059998,0
907,272.980011,0
908,271.929993,0
909,271.149994,0
910,269.980011,0
911,266.48999,0
912,261.899994,0
913,262.75,0
914,262.549988,0
915,258.690002,0
916,260.559998,0
917,260.769989,0
918,261.029999,0
919,260.23999,0
920,256.980011,0
921,257.089996,0
922,261.130005,0
923,259.179993,0
924,259.679993,0
925,262.329987,0
926,262.51001,0
927,261.519989,0
928,258.350006,0
929,264.480011,0
930,265.589996,0
931,265.869995,0
932,265.880005,0
933,266.839996,0
934,266.470001,0
935,267.429993,0
936,269.309998,0
937,268.130005,0
938,270.649994,0
939,268.820007,0
940,269.730011,0
941,270.160004,0
942,269.179993,0
943,269.76001,0
944,268.880005,0
945,268.26001,0
946,269.079987,0
947,272.589996,0
948,271.910004,0
949,271.380005,0
950,270.619995,0
951,271.859985,0
952,272.390015,0
953,278.070007,0
954,278.23999,0
955,277.929993,0
956,273.980011,0
957,275.220001,0
958,275.5,0
959,276.410004,0
960,279.380005,0
961,276.970001,0
962,282.880005,0
963,283.660004,0
964,282.279999,0
965,282.380005,0
966,281.380005,0
967,277.279999,0
968,278.529999,0
969,278.970001,0
970,279.059998,0
971,279.059998,0
972,279.200012,0
973,276.309998,0
974,273.929993,0
975,275.149994,0
976,273.329987,0
977,273.690002,0
978,267.920013,0
979,267.720001,0
980,268.339996,0
981,263.820007,0
982,264.600006,0
983,266.470001,0
984,266.220001,0
985,267.209991,0
986,269,0
987,267.230011,0
988,268.640015,0
989,270.910004,0
990,273.700012,0
991,272.48999,0
992,271.809998,0
993,274.929993,0
994,277.589996,0
995,278.130005,0
996,276.589996,0
997,277.029999,0
998,276.519989,0
999,276.309998,0
1000,275.309998,0
1001,274.279999,0
1002,276.290009,0
1003,278.910004,0
1004,277.470001,0
1005,277.380005,0
1006,276.869995,0
1007,277.869995,0
1008,276.829987,0
1009,277.079987,0
1010,279.399994,0
1011,277.720001,0
1012,275.309998,0
1013,279.429993,0
1014,280.01001,0
1015,280.670013,0
1016,280.980011,0
1017,280.380005,0
1018,282.01001,0
1019,283.170013,0
1020,283.869995,0
1021,284.140015,0
1022,283.549988,0
1023,286.529999,0
1024,286.910004,0
1025,286.630005,0
1026,284.5,0
1027,288.48999,0
1028,289.140015,0
1029,291.690002,0
1030,293.820007,0
1031,294.98999,0
1032,297.470001,0
1033,297.089996,0
1034,296.839996,0
1035,296.970001,0
1036,296.040009,0
1037,299.630005,0
1038,298.649994,0
1039,296.059998,0
1040,292.019989,0
1041,292.540009,0
1042,291.809998,0
1043,294.23999,0
1044,294.809998,0
1045,296.76001,0
1046,295.980011,0
1047,290.910004,0
1048,292.049988,0
1049,287.130005,0
1050,287.820007,0
1051,288.859985,0
1052,287.109985,0
1053,289.950012,0
1054,291.179993,0
1055,294.809998,0
